Q-table (State: Q-values for [Forward, Forward_Left, Forward_Right, Rotate_Left, Rotate_Right])
--------------------------------------------------------------------------------
State (0, 0, 0, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 0, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 0, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 0, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 1, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 1, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 1, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 1, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 2, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 2, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 2, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 2, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 3, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 3, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 3, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 0, 3, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 0, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 0, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 0, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 0, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 1, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 1, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 1, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 1, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 2, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 2, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 2, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 2, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 3, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 3, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 3, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 1, 3, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 0, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 0, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 0, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 0, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 1, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 1, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 1, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 1, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 2, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 2, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 2, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 2, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 3, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 3, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 3, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 2, 3, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 0, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 0, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 0, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 0, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 1, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 1, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 1, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 1, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 2, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 2, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 2, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 2, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 3, 0): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 3, 1): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 3, 2): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
State (0, 3, 3, 3): Q-values [0.0, 0.0, 0.0, 0.0, 0.0]
