Episode,Total_Reward
0,-217.5
1,-113.0
2,-259.0
3,-196.0
4,-190.0
5,-144.0
6,-148.0
7,-306.5
8,-221.5
9,-122.0
10,-102.5
11,-209.0
12,-192.0
13,-120.0
14,-117.5
15,-281.5
16,-238.0
17,-102.5
18,-85.5
19,-301.5
20,-132.0
21,-156.5
22,-126.0
23,-242.0
24,-296.5
25,-83.0
26,-151.0
27,-369.0
28,-145.0
29,-189.5
30,-296.0
31,-187.5
32,-245.0
33,-250.5
34,-336.5
35,-125.5
36,-169.0
37,-59.0
38,-148.0
39,-263.0
40,-131.5
41,-275.0
42,-194.0
43,-92.5
44,-71.5
45,-106.5
46,-161.5
47,-197.0
48,-90.5
49,-159.5
50,-116.5
51,-99.5
52,-108.0
53,-80.0
54,-114.0
55,-29.0
56,-135.5
57,-128.0
58,-100.5
59,-57.0
60,-127.0
61,-13.5
62,-92.0
63,-37.0
64,-61.0
65,-103.5
66,-145.0
67,-27.5
68,-77.0
69,-26.5
70,-50.5
71,-5.5
72,-72.5
73,-78.0
74,-77.5
75,4.0
76,-26.5
77,18.0
78,-26.5
79,-39.0
80,-24.5
81,-13.5
82,-51.0
83,-17.0
84,-18.0
85,-9.5
86,25.5
87,-3.5
88,-77.0
89,23.0
90,-54.0
91,-58.5
92,15.0
93,19.5
94,-7.0
95,1.0
96,46.5
97,35.5
98,-28.0
99,69.5
100,55.0
101,59.0
102,73.0
103,40.5
104,37.5
105,43.5
106,12.5
107,76.0
108,46.5
109,68.5
110,22.5
111,42.5
112,68.0
113,56.5
114,77.5
115,86.5
116,73.0
117,56.5
118,51.0
119,67.0
120,-15.5
121,72.0
122,27.5
123,72.5
124,73.0
125,85.0
126,79.5
127,66.5
128,89.5
129,40.5
130,75.0
131,126.5
132,78.0
133,69.5
134,81.0
135,60.5
136,89.5
137,88.0
138,97.5
139,78.0
140,103.0
141,79.0
142,105.0
143,90.5
144,116.0
145,114.0
146,87.0
147,113.0
148,105.5
149,108.0
150,49.0
151,101.5
152,105.5
153,104.0
154,89.5
155,122.0
156,114.0
157,108.0
158,91.5
159,98.0
160,98.5
161,109.0
162,101.0
163,73.5
164,89.0
165,93.0
166,109.5
167,105.0
168,76.5
169,89.0
170,78.5
171,95.5
172,93.0
173,101.0
174,92.0
175,101.5
176,83.0
177,100.0
178,109.5
179,103.0
180,100.0
181,88.5
182,84.5
183,110.0
184,96.5
185,87.0
186,118.0
187,105.5
188,103.5
189,93.5
190,94.5
191,83.5
192,101.0
193,86.0
194,110.5
195,105.0
196,114.0
197,108.0
198,83.0
199,106.0
