Episode,Total_Reward
0,-264.0
1,-188.5
2,-132.5
3,-251.0
4,-175.5
5,-151.5
6,-119.5
7,-168.5
8,-150.0
9,-113.5
10,-168.0
11,-164.5
12,-184.5
13,-82.5
14,-321.0
15,-227.5
16,-160.5
17,-167.5
18,-131.0
19,-164.0
20,-112.5
21,-73.0
22,-125.0
23,-216.0
24,-161.5
25,-81.0
26,-96.5
27,-240.0
28,-202.0
29,-137.5
30,-58.0
31,-311.5
32,-103.0
33,-337.0
34,-92.0
35,-252.0
36,-226.0
37,-87.5
38,-245.5
39,-206.0
40,-149.5
41,-231.5
42,-77.0
43,-156.5
44,-146.0
45,-85.5
46,-187.0
47,-77.5
48,-67.0
49,-97.5
50,-55.5
51,-92.5
52,-51.0
53,-106.0
54,-169.0
55,-74.0
56,-147.5
57,-74.5
58,-73.0
59,-29.0
60,-163.5
61,-165.0
62,-147.5
63,-87.0
64,-30.5
65,-121.5
66,-98.5
67,-94.0
68,-45.5
69,-32.0
70,-42.5
71,-35.5
72,-12.0
73,-30.5
74,-32.0
75,-59.0
76,-29.5
77,-36.5
78,-96.5
79,-63.0
80,-31.0
81,-1.5
82,-38.5
83,-21.5
84,-50.0
85,-73.0
86,-10.0
87,-6.0
88,-33.5
89,-45.5
90,10.0
91,1.0
92,-14.0
93,-2.0
94,-24.5
95,38.5
96,17.0
97,-14.5
98,-2.0
99,41.5
100,31.5
101,33.5
102,-31.5
103,43.5
104,29.0
105,3.5
106,73.5
107,49.5
108,41.5
109,26.5
110,21.0
111,52.0
112,65.5
113,44.0
114,-4.0
115,82.0
116,47.0
117,67.0
118,55.0
119,46.0
120,62.0
121,85.5
122,64.5
123,97.0
124,69.0
125,109.5
126,17.5
127,67.5
128,53.0
129,37.0
130,69.5
131,87.5
132,9.5
133,84.5
134,100.5
135,84.5
136,62.0
137,90.0
138,110.5
139,87.5
140,93.0
141,104.5
142,92.0
143,97.5
144,93.0
145,81.0
146,109.5
147,100.0
148,90.5
149,92.5
150,93.5
151,100.0
152,92.0
153,108.5
154,112.0
155,118.5
156,109.0
157,97.0
158,91.0
159,84.0
160,81.0
161,102.5
162,111.5
163,122.5
164,109.5
165,102.0
166,109.0
167,91.0
168,91.0
169,109.0
170,100.0
171,77.0
172,114.0
173,89.5
174,73.0
175,110.5
176,74.0
177,90.5
178,86.0
179,86.5
180,79.5
181,86.0
182,88.0
183,97.0
184,15.5
185,76.0
186,75.0
187,83.5
188,75.0
189,94.5
190,95.0
191,112.0
192,80.0
193,58.5
194,70.0
195,93.5
196,46.5
197,80.5
198,101.5
199,70.5
